,67205,-202.7.00,237,-163,,,,
298,5464,2280,-13900,29.75,-360,-197,-119,
299,5556,2272,-13884,29.85,-346,-164,-99,
300,5476,2236,-13836,29.8,-294,-161,-139,
301,5600,2288,-13800,29.75,-370,-160,-107,
302,5528,2288,-13840,29.75,-398,-179,-162,
303,5536,2436,-13972,29.8,-338,-167,-77,
304,5608,2224,-13824,29.8,-390,-180,-144,
305,5452,2320,-13800,29.85,-341,-164,-128,
306,5464,2292,-13852,29.75,-412,-198,-157,
307,5524,2284,-13924,29.75,-413,-211,-193,
308,5460,2336,-13856,29.8,-389,-176,-130,
309,5584,2324,-13936,29.75,-417,-187,-180,
310,5544,2304,-13868,29.75,-394,-174,-138,
311,5624,2212,-13664,29.85,-370,-255,-119,
312,5600,2332,-13868,29.8,-486,-253,-185,
313,5532,2340,-13756,29.8,-334,-183,-131,
314,5680,2284,-13812,29.8,-446,-213,-121,
315,5480,2360,-13824,29.85,-487,-235,-161,
316,5508,2372,-13824,29.75,-448,-224,-145,
317,5548,2360,-13820,29.8,-314,-176,-103,
318,5596,2320,-13812,29.8,-359,-217,-135,
319,5604,2364,-13880,29.85,-395,-243,-196,
320,5544,2300,-13884,29.85,-346,-168,-102,
321,5504,2288,-13912,29.8,-317,-182,-119,
322,5632,2428,-13928,29.8,-356,-148,-131,
323,5644,2396,-13840,29.85,-382,-175,-171,
324,5504,2296,-13864,29.75,-376,-163,-154,
325,5468,2384,-13928,29.89,-348,-187,-176,
326,5512,2372,-13848,29.8,-448,-227,-155,
327,5484,2432,-13932,29.75,-454,-228,-175,
328,5620,2476,-13836,29.75,-435,-184,-124,
329,5572,2428,-13968,29.85,-401,-234,-162,
330,5548,2488,-13912,29.8,-385,-250,-184,
331,5548,2436,-13600,29.8,-389,-225,-199,
332,5512,2464,-13792,29.71,-399,-213,-190,
333,5556,2408,-13836,29.75,-333,-193,-166,
334,5524,2412,-13832,29.75,-304,-200,-139,
335,5616,2468,-13976,29.85,-334,-186,-157,
336,5512,2456,-13688,29.8,-344,-195,-181,
337,5512,2500,-13908,29.8,-275,-185,-196,
338,5608,2336,-14000,29.89,-405,-187,-123,
339,5388,2368,-13836,29.75,-397,-171,-125,
340,5540,2464,-14008,29.75,-378,-154,-132,
341,5500,2440,-13616,29.85,-336,-199,-153,
342,5500,2428,-13876,29.8,-382,-166,-131,
343,5528,2456,-13800,29.8,-428,-203,-164,
344,5496,2392,-13876,29.8,-356,-181,-154,
345,5376,2448,-13904,29.8,-371,-188,-177,
346,5448,2376,-13760,29.75,-347,-169,-126,
347,5624,2416,-13824,29.85,-335,-176,-148,
348,5500,2504,-13892,29.75,-274,-172,-110,
349,5436,2384,-13964,29.75,-366,-185,-130,
350,5472,2452,-13816,29.75,-369,-181,-116,
351,5448,2444,-13868,29.8,-343,-162,-98,
352,5516,2400,-13740,29.75,-319,-149,-93,
353,5612,2420,-13840,29.75,-379,-189,-148,
354,5612,2376,-13868,29.89,-285,-204,-118,
355,5548,2380,-13820,29.8,-355,-172,-154,
356,5528,2372,-13864,29.8,-387,-164,-107,
357,5556,2408,-13852,29.85,-459,-211,-190,
358,5496,2420,-13792,29.75,-315,-156,-116,
