,-4,-710,192,,,,,,
172,6316,18128,-4332,31.59,-11241,-12323,-2878,,
173,4684,16680,-564,31.68,-10627,-13978,1579,,
174,6072,14192,-312,31.73,-5210,-4435,-202,,
175,5200,13920,-780,31.68,-9101,-3051,271,,
176,5924,14340,1984,31.59,-3983,-2432,-976,,
177,6652,16484,1700,31.68,-2776,-3161,-1912,,
178,5964,12696,1784,31.54,-5155,-4293,-738,,
179,5916,13564,2308,31.68,445,4804,-443,,
180,5384,15828,936,31.64,589,1030,2451,,
181,5984,15588,792,31.59,2016,-771,3079,,
182,5208,17064,2060,31.64,1195,-2587,342,,
183,7616,16160,-280,31.73,6517,-1717,847,,
184,6172,15032,1324,31.68,1531,-4533,2183,,
185,7464,15236,-1748,31.68,4268,-528,158,,
186,7464,15504,-1832,31.78,973,-3225,91,,
187,6460,14468,-2140,31.73,885,-940,923,,
188,6220,14640,-1972,31.73,2456,412,-428,,
189,6480,13960,-1284,31.68,3233,-2660,1366,,
190,7120,13872,-3108,31.73,3519,-3583,2931,,
191,7912,14236,-4264,31.64,1959,-454,2746,,
192,7112,13972,-3008,31.64,377,3144,1540,,
193,5388,14504,-3036,31.73,3685,8917,-2364,,
194,6504,15004,-3576,31.78,4523,9472,-3884,,
195,7628,14348,-2032,31.68,6670,7729,-1579,,
196,10356,12204,-3716,31.73,4046,6204,-3614,,
197,10516,13188,-2868,31.68,1928,3858,-623,,
198,10324,12636,-4252,31.73,4948,7761,732,,
199,9204,12504,-3788,31.73,4578,4541,1544,,
200,8928,12788,-3540,31.64,1418,2174,206,,
201,9964,13332,-3944,31.78,5876,5694,-180,,
202,9752,12064,-3836,31.82,1594,2545,-398,,
203,10184,11968,-5408,31.73,7091,11560,-3752,,
204,9148,12408,-4276,31.68,4807,7674,-5565,,
205,9720,13436,-3616,31.64,5805,4777,-5681,,
206,10272,11836,-3352,31.73,2003,359,-2197,,
207,10344,11424,-4200,31.73,-1390,1959,-283,,
