,-184864,-4192,30.74,-2214,996,-62,,
148,3772,12304,-8024,30.84,-166,197,-201,
149,3676,12560,-8564,30.84,-453,-255,-96,
150,3532,12412,-8208,30.79,-177,-66,-48,
151,3556,12576,-8268,30.88,-438,-269,-84,
152,3664,12512,-8304,30.79,-345,-111,-138,
153,3572,12484,-8236,30.79,-419,-157,-215,
154,3616,12424,-8232,30.88,-482,-154,-225,
155,3616,12436,-8272,30.79,-510,-279,-161,
156,3584,12516,-8240,30.79,-310,-144,-153,
157,3644,12428,-8316,30.79,-336,-193,-130,
158,3664,12540,-8168,30.88,-469,-270,-130,
159,3632,12536,-8292,30.88,-392,-159,-130,
160,3572,12424,-8356,30.88,-375,-145,-173,
161,3692,12604,-8260,30.88,-367,-175,-133,
162,3652,12440,-8180,30.79,-314,-134,-154,
163,3616,12452,-8100,30.98,-354,-168,-148,
164,3612,12516,-8188,30.88,-362,-263,-186,
165,3600,12492,-8344,30.88,-261,-294,-63,
166,3684,12588,-8312,30.79,-327,-224,-153,
167,3632,12488,-8332,30.88,-374,-192,-129,
168,3712,12500,-8324,30.88,-421,-220,-188,
169,3568,12528,-8284,30.88,-467,-251,-257,
170,3588,12520,-8252,30.98,-355,-222,-172,
171,3576,12552,-8296,30.93,-302,-229,-61,
172,3620,12552,-8256,30.88,-351,-235,-155,
173,3536,124˛                                                                ,,,,,,
174,3952,12388,-8144,30.84,-359,54,-263,
175,3892,12552,-8332,30.88,-98,-97,-18,
176,3772,12388,-8128,30.88,-426,-224,-124,
177,4064,12348,-8524,30.93,-145,-144,-170,
178,3948,12424,-8100,30.93,-518,-197,-54,
179,3944,12216,-8076,30.79,206,-63,-99,
180,4156,12320,-8264,30.98,-887,-567,-431,
181,3856,12448,-8032,30.88,-299,54,-20,
182,3908,12296,-8284,30.98,-321,-121,-203,
183,3956,12496,-8400,30.93,-520,-57,-217,
184,4016,12484,-8556,30.93,-214,-94,-73,
185,3948,12492,-8080,30.88,-383,-528,-70,
186,4232,12316,-8492,30.98,-256,-202,-222,
187,4072,12328,-8464,30.93,-458,1,-112,
188,3732,12560,-8256,30.88,-276,-349,-248,
189,3760,12016,-7932,30.88,-78,-231,-124,
190,4048,12220,-8340,30.93,-541,-348,-185,
191,3992,12344,-8044,30.93,-120,383,-298,
192,3800,12544,-8464,30.88,-162,27,-112,
193,3844,12484,-8172,31.02,-721,-626,-136,
