0.6,,,,,,,,
5,-172,3784,-14428,30.51,-196,61,8,
6,-32,3804,-14436,30.46,-166,-76,174,
7,-72,3808,-14320,30.46,-106,-130,131,
8,72,3956,-14412,30.51,-112,-354,68,
9,128,3700,-14468,30.37,-488,-362,-81,
10,48,3516,-14376,30.55,-590,-505,-180,
11,-148,3556,-14412,30.41,-523,-426,-232,
12,8,3604,-14248,30.46,-609,-445,-183,
13,-68,3724,-14184,30.51,-620,-479,-132,
14,-84,3924,-14388,30.55,-1081,-419,-299,
15,-172,4132,-14196,30.46,-957,-542,-295,
16,-172,4060,-14120,30.41,-671,-458,-239,
17,-348,4044,-14064,30.51,-320,17,-298,
18,-416,4136,-14192,30.41,68,-139,37,
19,-184,3980,-14092,30.41,362,-256,42,
20,168,3620,-14800,30.46,-232,-241,-289,
21,-156,3916,-14268,30.41,-109,-120,-556,
22,-464,3792,-14248,30.37,-231,-244,-506,
23,-316,3868,-14440,30.46,-330,-76,-519,
24,-112,3820,-14432,30.51,-246,-190,-338,
25,-332,3736,-14284,30.37,-433,-65,-473,
26,-408,3916,-13948,30.51,-422,-118,-378,
27,-344,3704,-14192,30.41,-426,-71,-345,
28,-252,3700,-14308,30.41,-414,-288,-100,
29,40,3800,-14260,30.55,-477,-221,-144,
30,-36,3892,-14328,30.51,-589,-262,-341,
31,-336,4056,-14208,30.55,-413,-61,-375,
32,-480,3944,-14216,30.51,-375,-198,-117,
33,-304,3844,-14140,30.41,-106,-370,85,
34,-52,3672,-14404,30.51,82,-525,233,
35,-156,4220,-13744,30.41,226,-633,-79,
36,-324,3688,-15152,30.37,178,-1031,3,
37,-532,3740,-13816,30.41,-449,-338,-351,
38,-692,3712,-15072,30.46,-178,-558,-73,
39,-616,3784,-14180,30.41,-317,-351,-125,
40,-664,3536,-14616,30.41,-253,-3,-217,
41,-380,3644,-14424,30.46,-306,-216,-74,
42,-652,3732,-14304,30.41,-501,23,-321,
43,-592,3332,-14284,30.32,-269,-516,-4,
44,-132,3492,-14548,30.46,-672,-310,-287,
45,-632,3792,-14064,30.46,-805,480,-843,
46,-952,3424,-14748,30.41,-79,-451,140,
47,-328,3732,-14204,30.46,-567,-528,157,
48,-112,3652,-14156,30.51,-461,12,-451,
49,-612,3700,-14444,30.55,-450,35,-293,
50,-624,3716,-14136,30.55,-263,-232,-53,
51,-292,3756,-14168,30.41,-42,-579,89,
52,-392,3616,-14408,30.46,-372,-211,-150,
53,-404,3944,-14656,30.46,-285,-726,29,
54,-824,3608,-13932,30.51,-518,123,-392,
55,-660,3572,-14252,30.46,-224,-257,62,
56,-448,3572,-15388,30.51,-353,-168,-7,
57,-292,3956,-13460,30.55,-214,-596,162,
58,-544,3472,-14544,30.6,-340,-70,-229,
59,-372,3668,-13208,30.46,-251,-424,130,
60,-544,3848,-14340,30.51,-481,-78,-168,
61,-392,3716,-14372,30.41,-200,-365,-24,
62,-700,3444,-14172,30.46,-109,-77,38,
63,-228,3720,-14560,30.46,-294,-254,19,
64,-676,3664,-14160,30.51,-461,-186,-151,
65,-612,3652,-14384,30.41,-248,-243,126,
66,-620,3664,-14524,30.46,-95,-239,169,
67,-912,3428,-14440,30.51,-175,11,-33,
68,-392,3516,-14492,30.51,33,-484,276,
69,-480,3628,-13912,30.46,-494,-58,-130,
70,-708,3396,-14500,30.51,-323,142,-174,
71,-152,3140,-13856,30.46,247,-417,353,
72,72,3496,-14388,30.51,-4,0,-309,
73,-340,3412,-14752,30.51,-383,11,-625,
74,-880,3180,-14328,30.41,-421,-299,-256,
75,-352,3756,-14364,30.46,-543,-183,-284,
76,-436,3196,-14332,30.46,-51,-53,-333,
77,-512,3232,-14712,30.51,171,-179,-131,
78,-156,3372,-14652,30.46,-438,-269,-326,
79,-544,3232,-14328,30.51,-366,-65,-262,
80,-400,3512,-14456,30.51,-410,-289,-294,
81,-624,3412,-14308,30.55,-543,-225,-394,
82,-536,3272,-14736,30.46,-491,-239,-136,
83,-368,3436,-14276,30.51,-639,-288,-233,
84,-708,3364,-14312,30.41,-467,-156,-102,
85,-404,3476,-14248,30.46,-155,0,20,
86,-404,3480,-14476,30.46,-110,-164,99,
87,-372,3408,-14524,30.46,-493,-256,-338,
88,-608,3320,-14356,30.37,-325,-124,-189,
89,-372,3480,-14556,30.46,-239,-73,-4,
90,-368,3404,-14356,30.46,-244,-47,-181,
91,-308,3404,-14356,30.41,-244,-56,-113,
92,-492,3264,-14540,30.46,-281,100,-209,
93,-100,3308,-14080,30.51,-90,-257,94,
94,-236,3352,-14540,30.51,-509,-62,-280,
95,-424,3252,-14324,30.41,-315,-236,-116,
96,-316,3264,-14460,30.46,-391,-71,-114,
